stim_id,gender,age,task_rt,face_width,face_length
face_1,m,40,217.35,64.13,111.46
face_2,f,33,378.22,63.61,106.35
face_3,m,35,405.63,63.99,114.56
face_4,m,57,965.73,65.75,107.8
face_5,f,33,1682.76,63.489999999999995,113.62
face_6,m,44,851.52,61.11,121.8
face_7,m,38,712.58,67.82,112.86
face_8,m,44,457.28,62.28,114.02
face_9,f,41,290.77,60.33,111.96
face_10,f,52,419.15,58.64,114.85
face_11,m,57,285.18,62.42,109.82
face_12,m,26,640.8,66.92,108.69
face_13,m,48,466.89,62.44,115.25
face_14,m,32,529.65,59.14,120.6
face_15,m,52,378.76,65.44,113.74
face_16,f,37,277.42,63.290000000000006,112.89
face_17,f,40,1361.74,62.93000000000001,109.89
face_18,f,18,566.53,62.55,112.62
face_19,f,42,416.09,62.8,117.18
face_20,m,49,780.34,59.87,121.22
face_21,m,39,828.17,64.4,115.96
face_22,m,43,348.06,64.04,116.82
face_23,m,28,367.1,62.89,115.14
face_24,m,19,554.04,66.15,109.76
face_25,m,36,1073.47,64.72,112.7
face_26,m,56,747.73,65.78,109.49
face_27,f,40,849.23,59.17,116.41
face_28,m,50,438.78,64,112.12
face_29,m,56,300.03,63.64,111.89
face_30,f,38,816.13,61.760000000000005,111.5
face_31,f,18,662.75,62.760000000000005,114.01
face_32,f,60,546.05,56.8,116.13
face_33,m,20,665.76,62.37,115.41
face_34,f,27,656.48,63.11,109.34
face_35,m,30,381.97,66.92,110.76
face_36,m,27,639.12,61.51,118.08
face_37,f,58,832.36,58.8,117.64
face_38,m,30,596.27,64.66,111.87
face_39,f,34,1584.09,62.959999999999994,110.61
face_40,f,34,874.37,64,109.9
face_41,f,49,559.5,63.97,113.93
face_42,f,55,301.87,55.49,124.24
face_43,m,41,313.76,62.7,114.58
face_44,f,41,631.91,65.5,109.59
face_45,f,29,520.35,62.379999999999995,111.37
face_46,f,23,601.89,59.3,114.04
face_47,f,56,874.33,59.51,115.95
face_48,f,52,347.75,64.23,110.38
face_49,m,18,602.02,63.3,114.13
face_50,m,55,817.02,65.71,112.11
face_51,f,48,475.73,57.48,113.89
face_52,m,27,830.43,62.71,113.24
face_53,f,58,269.29,64.62,112.1
face_54,f,43,434.58,58.56,119.32
face_55,m,36,843.61,59.22,121.01
face_56,m,58,415.89,64.63,112.96
face_57,f,50,628.76,59.06,117.3
face_58,f,46,930.93,58.19,117.14
face_59,f,54,296.08,58.88,116.47
face_60,m,32,627.32,59.07,119.19
face_61,m,42,271.87,63.98,111.75
face_62,f,37,284.17,64.8,111.79
face_63,f,27,416.25,59.38,113.01
face_64,f,50,390.72,65.03,110.87
face_65,f,44,480.34,63.05,114.67
face_66,f,21,443.01,66.13,109.43
face_67,f,58,757.26,59.84,113.96
face_68,m,56,633.03,64.63,110.43
face_69,f,46,749.53,60.66,116.37
face_70,f,28,386.04,58.67,117
face_71,f,60,650.51,64.81,112.48
face_72,f,47,707.27,57,115.92
face_73,m,29,495.52,64.74,117.2
face_74,m,40,916.14,64.17,115.74
face_75,m,20,522.95,58.5,119.69
face_76,f,49,715.37,63.019999999999996,109.27
face_77,f,20,425.81,53.49,118.31
face_78,m,46,672.05,61.06,111.07
face_79,m,50,450.75,63.85,115.12
face_80,f,26,578.41,61.3,113.84
face_81,f,29,353.97,62.620000000000005,109.98
face_82,f,59,946.16,61.67,114.87
face_83,m,23,359.44,67.19,110.9
face_84,m,23,749.55,62.08,108.31
face_85,m,41,1039.39,67.19,111.82
face_86,f,29,735.17,61.3,113.43
face_87,m,32,438.65,61.33,117.42
face_88,f,28,513.91,60.57,113.04
face_89,m,21,414.86,61.72,117.5
face_90,f,38,471.57,59.51,116.63
face_91,m,21,360.41,66.19,111.94
face_92,m,52,504.62,59.53,114.36
face_93,f,22,398.44,65.3,111.89
face_94,f,44,401.52,62.92,113.87
face_95,m,28,1166.64,62.85,116.95
face_96,m,32,625.53,62.24,116.39
face_97,m,42,646.96,65.99,111.48
face_98,f,51,447.75,60.32,120.15
face_99,f,47,297.22,63.7,112.23
face_100,m,55,433.36,64.08,113.06
face_101,f,34,523.44,64.36,110.42
face_102,f,48,397.08,64.71,109.5
face_103,f,19,414.1,64.42,115.43
face_104,m,45,847.31,65.53,113.25
face_105,m,29,573.7,65.38,110.54
face_106,m,47,527.33,66.02,112.8
face_107,m,51,1965.4,65.47,107.02
face_108,f,52,339.11,62.75,114.8
face_109,m,40,529.26,67.28,110.69
face_110,m,41,356.26,61.68,115.21
face_111,m,49,472.7,66.73,111.39
face_112,m,25,435.93,63.66,112.56
face_113,m,57,804.19,67.99,113.34
face_114,f,20,579.99,59.59,120.6
face_115,f,42,528.47,61.06,116.63
face_116,f,26,454.91,58.31,118.99
face_117,f,22,326.7,63.010000000000005,107.29
face_118,m,32,436.79,61.75,114.7
face_119,f,50,455.57,59.83,115.15
face_120,f,51,948.52,63.55,113.24
face_121,f,21,446.53,61.61,115.23
face_122,f,46,576.76,61.5,112.61
face_123,m,54,1519.04,64.74,110.45
face_124,m,24,415.32,64.43,114.48
face_125,f,53,429.7,62.43000000000001,111.31
face_126,m,21,620.56,60.89,114.77
face_127,m,19,831.76,66.49,114.17
face_128,f,34,346.55,59.54,113.34
face_129,f,57,955.97,60.78,114.05
face_130,m,40,864.79,62.19,114.09
face_131,m,35,1084.81,65.04,110.93
face_132,m,31,630.35,67.36,111.32
face_133,f,38,494.47,62.89,112.22
face_134,m,41,770.35,68.56,110.97
face_135,f,38,333.37,58.98,109.36
face_136,m,39,319.65,63.66,112.81
face_137,f,46,550.97,61.730000000000004,115.02
face_138,f,48,849.49,65.42,113.7
face_139,f,24,515.54,63.11,117.46
face_140,m,43,373.99,64.97,115.28
face_141,f,35,408.44,57.22,118.49
face_142,m,38,852.63,63.18,111.88
face_143,m,36,599.61,64.58,111.85
face_144,f,49,887.65,64.12,110.98
face_145,m,20,385.44,59.23,119.4
face_146,f,32,380.61,57.88,112.5
face_147,f,60,472.27,61.18,111.14
face_148,f,41,1144.83,62.16,113.89
face_149,m,42,521.43,62.95,117.77
face_150,m,53,438.14,64.54,111.57
face_151,f,58,381.9,63.290000000000006,113.9
face_152,m,26,821.55,60.53,116.82
face_153,m,46,425.22,63.42,116.73
face_154,m,27,485.88,61.3,115.39
face_155,m,52,441.61,69.08,105.48
face_156,f,29,466.37,57.18,110.14
face_157,f,26,539.38,62.06,113.63
face_158,f,50,762.35,62.81,115.14
face_159,f,54,370.74,62.86,113.29
face_160,f,36,804.86,63.7,108.27
face_161,m,53,449.6,66.85,112.02
face_162,m,26,679.15,66.3,107.19
face_163,m,50,1409.29,62.5,115.9
face_164,f,43,485.52,61.89,113.89
face_165,m,18,715.92,60.02,116.85
face_166,m,27,1020.74,64.88,114.06
face_167,f,22,594.43,59.6,116.76
face_168,m,33,300.29,62.59,113.9
face_169,m,20,627.95,59.78,119.93
face_170,f,51,342.21,60.97,112.87
face_171,m,26,623.93,68.7,112.08
face_172,m,42,438.47,64.58,115.64
face_173,f,54,452.35,62.760000000000005,113.97
face_174,m,54,320,65.89,114.31
face_175,m,22,377.68,66.31,111.48
face_176,f,29,554,58.02,118.69
face_177,f,46,379.61,61.8,120.31
face_178,f,27,1289.97,65.26,110.57
face_179,f,37,353.53,63.2,110.41
face_180,m,41,1408.08,59.84,118.66
face_181,f,60,636.15,57.07,119
face_182,m,27,594.5,62.84,115.19
face_183,m,48,709.75,60.65,113.82
face_184,m,25,837.51,66.4,108.02
face_185,m,60,608.28,65.36,113.32
face_186,m,21,279.19,63.28,116.52
face_187,f,35,1065.58,62.64,108.47
face_188,m,40,413.43,68.46,109.94
face_189,f,48,435.26,58.09,117.69
face_190,m,43,818.05,62.52,112.93
face_191,m,26,343.24,58.44,114.82
face_192,f,31,929.45,56.26,117.18
face_193,m,21,623.8,66.53,115.53
face_194,f,57,414.41,60.49,114.53
face_195,f,31,652.95,67.38,107.72
face_196,f,26,542.02,64.58,113.87
face_197,m,50,862.79,61.96,116.3
face_198,f,59,499.51,61.02,113.82
face_199,m,18,326.67,65.02,115.5
face_200,m,38,685.99,67.11,106.26
face_201,f,53,350.92,64.84,111.5
face_202,f,24,974.24,57.67,118.26
face_203,m,54,358.94,62.31,117.56
face_204,f,56,325.96,61.879999999999995,115.91
face_205,f,38,261.69,59.98,114.15
face_206,f,36,513.33,62.83,113.31
